session_id,ch,t_samples,t_ms,wait_samples,mean_abs,rms_db,nz,event,reg2n_hex
1,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
1,0,0,0.000000,1,0.000000,-240.00,0,WAIT,
1,0,1,0.022676,5,0.000000,-240.00,0,WAIT,
1,0,6,0.136054,0,0.000000,-240.00,0,KO_OFF,04
1,0,6,0.136054,13,0.001686,-76.32,13,WAIT,
2,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
2,0,0,0.000000,5,0.001950,-75.27,5,WAIT,
2,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,04
2,0,5,0.113379,12,0.001472,-77.61,12,WAIT,
3,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
3,0,0,0.000000,1,0.001017,-80.93,1,WAIT,
3,0,1,0.022676,4,0.000962,-81.40,4,WAIT,
3,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,04
3,0,5,0.113379,12,0.000750,-83.50,12,WAIT,
4,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
4,0,0,0.000000,1,0.000610,-85.36,1,WAIT,
4,0,1,0.022676,5,0.000702,-84.13,5,WAIT,
4,0,6,0.136054,0,0.000000,-240.00,0,KO_OFF,04
4,0,6,0.136054,12,0.000902,-81.95,12,WAIT,
5,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
5,0,0,0.000000,1,0.001017,-80.93,1,WAIT,
5,0,1,0.022676,5,0.001139,-79.93,5,WAIT,
5,0,6,0.136054,0,0.000000,-240.00,0,KO_OFF,04
5,0,6,0.136054,13,0.001383,-78.24,13,WAIT,
6,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
6,0,0,0.000000,5,0.001513,-77.48,5,WAIT,
6,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,04
6,0,5,0.113379,12,0.001487,-77.62,12,WAIT,
7,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,14
7,0,0,0.000000,1,0.001369,-78.34,1,WAIT,
7,0,1,0.022676,4,0.001292,-78.85,4,WAIT,
7,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,04
7,0,5,0.113379,12,0.001308,-78.74,12,WAIT,
8,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,15
8,0,0,0.000000,1,0.001328,-78.61,1,WAIT,
8,0,1,0.022676,5,0.001302,-78.78,5,WAIT,
8,0,6,0.136054,0,0.000000,-240.00,0,KO_OFF,05
8,0,6,0.136054,13,0.001306,-78.75,13,WAIT,
9,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,15
9,0,0,0.000000,1,0.001315,-78.69,1,WAIT,
9,0,1,0.022676,4,0.001281,-78.92,4,WAIT,
9,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,05
9,0,5,0.113379,13,0.001250,-79.13,13,WAIT,
10,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,15
10,0,0,0.000000,5,0.001185,-79.60,5,WAIT,
10,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,05
10,0,5,0.113379,12,0.001126,-80.04,12,WAIT,
11,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,15
11,0,0,0.000000,1,0.001071,-80.48,1,WAIT,
11,0,1,0.022676,4,0.001030,-80.81,4,WAIT,
11,0,5,0.113379,0,0.000000,-240.00,0,KO_OFF,05
11,0,5,0.113379,12,0.000889,-82.02,12,WAIT,
12,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,15
12,0,0,0.000000,1,0.000542,-86.40,1,WAIT,
12,0,1,0.022676,5,0.000301,-90.95,5,WAIT,
12,0,6,0.136054,0,0.000000,-240.00,0,KO_OFF,05
12,0,6,0.136054,15,0.000356,-88.72,14,WAIT,
13,0,0,0.000000,0,0.000000,-240.00,0,KO_ON,16
13,0,0,0.000000,1,0.000664,-84.63,1,WAIT,
13,0,1,0.022676,5,0.000653,-84.77,5,WAIT,
13,0,6,0.136054,0,0.000000,-240.00,0,KO_OFF,06
13,0,6,0.136054,11,0.000654,-84.76,11,WAIT,
13,0,17,0.385488,11036,0.000005,-122.81,4146,WAIT,
13,0,11053,250.634921,11037,0.000000,-240.00,0,WAIT,
13,0,22090,500.907029,11036,0.000000,-240.00,0,WAIT,
13,0,33126,751.156463,11036,0.000000,-240.00,0,WAIT,
13,0,44162,1001.405896,11036,0.000000,-240.00,0,WAIT,
13,0,55198,1251.655329,11037,0.000000,-240.00,0,WAIT,
13,0,66235,1501.927438,11036,0.000000,-240.00,0,WAIT,
13,0,77271,1752.176871,11036,0.000000,-240.00,0,WAIT,
13,0,88307,2002.426304,11036,0.000000,-240.00,0,WAIT,
13,0,99343,2252.675737,11037,0.000000,-240.00,0,WAIT,
13,0,110380,2502.947846,11036,0.000000,-240.00,0,WAIT,
13,0,121416,2753.197279,11036,0.000000,-240.00,0,WAIT,
13,0,132452,3003.446712,10305,0.000000,-240.00,0,WAIT,
13,0,142757,3237.120181,22,0.000000,-240.00,0,WAIT,
